0,BIRCH,K-Means,MiniBatchKMeans,BisectingKMeans,AggCluWard, Class
Gaia18cum,6.0,2.0,5.0,2.0,6.0,unknown
Gaia18cul,4.0,1.0,2.0,3.0,1.0,unknown
Gaia18cuk,7.0,1.0,2.0,2.0,1.0,unknown
Gaia18cuf,5.0,0.0,1.0,0.0,2.0,unknown
Gaia18cue,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18cud,0.0,3.0,3.0,7.0,5.0,Varstar
Gaia18ctx,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18ctu,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18ctm,0.0,7.0,3.0,5.0,0.0,unknown
Gaia18cth,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18ctg,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18ctb,0.0,5.0,6.0,4.0,0.0,unknown
Gaia18cta,3.0,3.0,6.0,7.0,0.0,ULENS
Gaia18csz,7.0,4.0,2.0,3.0,1.0,CV
Gaia18css,0.0,3.0,3.0,7.0,5.0,unknown
Gaia18csj,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18csh,7.0,1.0,2.0,2.0,1.0,unknown
Gaia18csf,1.0,7.0,3.0,7.0,4.0,CV
Gaia18csc,5.0,0.0,0.0,1.0,2.0,SN II
Gaia18cry,3.0,3.0,2.0,3.0,5.0,CV
Gaia18crx,4.0,5.0,6.0,4.0,7.0,QSO
Gaia18cru,5.0,0.0,4.0,1.0,2.0,unknown
Gaia18crt,4.0,4.0,1.0,4.0,7.0,YSO
Gaia18crs,7.0,1.0,5.0,2.0,1.0,CV
Gaia18crr,7.0,1.0,2.0,2.0,1.0,CV
Gaia18cro,5.0,0.0,4.0,0.0,2.0,unknown
Gaia18cri,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18cre,4.0,5.0,6.0,4.0,7.0,unknown
Gaia18crd,4.0,4.0,2.0,3.0,1.0,CV
Gaia18crc,4.0,1.0,5.0,2.0,1.0,CV
Gaia18cqv,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18cqu,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18cqo,5.0,0.0,0.0,1.0,2.0,CV
Gaia18cqn,4.0,5.0,6.0,4.0,0.0,unknown
Gaia18cqe,3.0,4.0,1.0,4.0,0.0,QSO
Gaia18cqd,3.0,3.0,3.0,7.0,5.0,unknown
Gaia18cqc,5.0,0.0,4.0,0.0,2.0,SN Ia
