0,K-Means,DBSCAN,MiniBatchKMeans,BisectingKMeans,AggCluAvarage,AggCluComplete,AggCluSingle,AggCluWard, Class
Gaia22bdv,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,unknown
Gaia22bdu,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22bdt,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,TDE
Gaia22bdn,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22bdl,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,SN Ia
Gaia22bdg,3.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bde,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bdd,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22bcx,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22bcw,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,unknown
Gaia22bcn,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22bcb,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bbv,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bbp,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bbo,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22bbf,5.0,0.0,2.0,4.0,0.0,1.0,0.0,5.0,unknown
Gaia22bbb,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,QSO
Gaia22baz,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bav,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22bap,6.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,unknown
