0,DBSCAN
Gaia22asd,-1
Gaia22asc,0
Gaia22asb,0
Gaia22asa,-1
Gaia22arz,0
Gaia22arx,0
Gaia22arv,0
Gaia22ars,0
Gaia22arr,0
Gaia22arq,-1
Gaia22aro,-1
Gaia22arn,-1
Gaia22arm,-1
Gaia22arl,-1
Gaia22ark,-1
Gaia22arj,-1
Gaia22arh,0
Gaia22arf,0
Gaia22ara,-1
Gaia22aqw,0
Gaia22aqu,-1
Gaia22aqt,-1
Gaia22aqs,0
Gaia22aqr,0
Gaia22aqp,0
Gaia22aqo,-1
Gaia22aqn,-1
Gaia22aqm,0
Gaia22aql,-1
Gaia22aqi,0
Gaia22aqh,0
Gaia22aqg,0
Gaia22aqf,0
Gaia22aqe,0
Gaia22aqd,0
Gaia22aqc,0
Gaia22aqb,0
Gaia22apy,0
Gaia22apx,-1
Gaia22apv,-1
Gaia22apu,0
Gaia22aps,0
Gaia22apr,0
Gaia22app,-1
Gaia22apo,0
Gaia22apn,-1
Gaia22apl,0
Gaia22apj,22
Gaia22api,-1
Gaia22aph,-1
Gaia22apg,0
Gaia22ape,0
Gaia22apc,0
Gaia22apb,0
Gaia22aou,0
Gaia22aos,0
Gaia22aor,0
Gaia22aop,0
Gaia22aoo,-1
Gaia22aom,-1
Gaia22aoj,0
Gaia22aoi,0
Gaia22aod,0
Gaia22aoc,0
Gaia22aob,0
Gaia22aoa,0
Gaia22anz,0
Gaia22any,0
Gaia22anx,0
Gaia22anw,0
Gaia22ant,0
Gaia22ans,0
Gaia22anr,-1
Gaia22anq,-1
Gaia22ann,0
Gaia22anl,0
Gaia22anj,-1
Gaia22ani,0
Gaia22anh,-1
Gaia22ang,-1
Gaia22anf,0
Gaia22ane,23
Gaia22and,0
Gaia22anc,0
Gaia22amz,0
Gaia22amy,0
Gaia22amx,0
Gaia22amw,-1
Gaia22amv,0
Gaia22amu,0
Gaia22amt,-1
Gaia22amq,0
Gaia22amp,0
Gaia22amn,0
Gaia22amm,0
Gaia22aml,0
Gaia22amh,0
Gaia22amg,0
Gaia22amd,-1
Gaia22amc,0
Gaia22amb,-1
Gaia22alz,-1
Gaia22alw,-1
Gaia22alv,0
Gaia22alt,0
Gaia22alr,-1
Gaia22alq,0
Gaia22alp,0
Gaia22alo,-1
Gaia22alm,-1
Gaia22all,24
Gaia22alj,0
Gaia22ali,0
Gaia22alh,0
Gaia22alg,-1
Gaia22alf,-1
Gaia22alb,0
Gaia22ala,0
Gaia22akz,-1
Gaia22aky,0
Gaia22akt,0
Gaia22aks,-1
Gaia22akr,0
Gaia22akq,0
Gaia22ako,-1
Gaia22akm,0
Gaia22akl,0
Gaia22akj,0
Gaia22akh,0
Gaia22akg,0
Gaia22akf,-1
Gaia22ake,0
Gaia22akd,-1
Gaia22akc,25
Gaia22akb,-1
Gaia22ajz,0
Gaia22ajy,0
Gaia22ajx,0
Gaia22ajw,0
Gaia22ajv,-1
Gaia22aju,0
Gaia22ajt,0
Gaia22ajs,-1
Gaia22ajp,0
Gaia22ajn,-1
Gaia22ajm,0
Gaia22ajj,0
Gaia22ajg,0
Gaia22aje,0
Gaia22ajd,0
Gaia22ajc,0
Gaia22ajb,0
